name,urls,first
scTyper,https://github.com/omicsCore/scTyper,https://github.com/omicsCore/scTyper
UPhyloplot2,https://github.com/harbourlab/UPhyloplot2,https://github.com/harbourlab/UPhyloplot2
CIForm,https://github.com/zhanglab-wbgcas/CIForm,https://github.com/zhanglab-wbgcas/CIForm
MaxFuse,https://maxfuse.readthedocs.io/|https://github.com/shuxiaoc/maxfuse,https://maxfuse.readthedocs.io/
METAFlux,https://github.com/KChen-lab/METAFlux,https://github.com/KChen-lab/METAFlux
MQuad,https://github.com/single-cell-genetics/MQuad,https://github.com/single-cell-genetics/MQuad
sc-compReg,https://github.com/SUwonglab/sc-compReg,https://github.com/SUwonglab/sc-compReg
SCAPE,https://github.com/LuChenLab/SCAPE,https://github.com/LuChenLab/SCAPE
scMRMA,https://github.com/JiaLiVUMC/scMRMA,https://github.com/JiaLiVUMC/scMRMA
scSpace,https://github.com/ZJUFanLab/scSpace,https://github.com/ZJUFanLab/scSpace
seqgendiff,https://github.com/dcgerard/seqgendiff|https://dcgerard.github.io/seqgendiff/,https://github.com/dcgerard/seqgendiff
SoloTE,https://SoloTE.readthedocs.io/en/latest/|https://github.com/bvaldebenitom/SoloTE,https://SoloTE.readthedocs.io/en/latest/
TDL,https://github.com/xiaoyeye/TDL,https://github.com/xiaoyeye/TDL
TinGa,https://github.com/Helena-todd/TinGa,https://github.com/Helena-todd/TinGa
UNCURL,https://github.com/yjzhang/uncurl_python,https://github.com/yjzhang/uncurl_python
CellFishing,https://github.com/bicycle1885/CellFishing.jl,https://github.com/bicycle1885/CellFishing.jl
cellxgene_VIP,https://github.com/interactivereport/cellxgene_VIP,https://github.com/interactivereport/cellxgene_VIP
Cepo,https://bioconductor.org/packages/release/bioc/html/Cepo.html|https://github.com/PYangLab/Cepo,https://bioconductor.org/packages/release/bioc/html/Cepo.html
condiments,https://bioconductor.org/packages/release/bioc/html/condiments.html|https://github.com/HectorRDB/condiments,https://bioconductor.org/packages/release/bioc/html/condiments.html
CS-CORE,https://github.com/ChangSuBiostats/CS-CORE|https://github.com/ChangSuBiostats/CS-CORE/tree/master/vignettes,https://github.com/ChangSuBiostats/CS-CORE
DrSeq2,https://github.com/ChengchenZhao/DrSeq2,https://github.com/ChengchenZhao/DrSeq2
gget,https://github.com/pachterlab/gget,https://github.com/pachterlab/gget
MEDALT,https://github.com/KChen-lab/MEDALT,https://github.com/KChen-lab/MEDALT
MultiK,https://github.com/siyao-liu/MultiK,https://github.com/siyao-liu/MultiK
PhyloVelo,https://PhyloVelo.readthedocs.io/en/latest/|https://github.com/kunwang34/PhyloVelo,https://PhyloVelo.readthedocs.io/en/latest/
scMRA,https://github.com/ddb-qiwang/scMRA-torch,https://github.com/ddb-qiwang/scMRA-torch
scReClassify,https://bioconductor.org/packages/release/bioc/html/scReClassify.html|https://github.com/SydneyBioX/scReClassify,https://bioconductor.org/packages/release/bioc/html/scReClassify.html
scRNA,https://github.com/nicococo/scRNA,https://github.com/nicococo/scRNA
siVAE,https://github.com/quon-titative-biology/siVAE,https://github.com/quon-titative-biology/siVAE
CeLEry,https://CeLEry.readthedocs.io/en/latest/|https://github.com/QihuangZhang/CeLEry,https://CeLEry.readthedocs.io/en/latest/
DEGAS,https://github.com/tsteelejohnson91/DEGAS,https://github.com/tsteelejohnson91/DEGAS
embeddr,https://github.com/kieranrcampbell/embeddr,https://github.com/kieranrcampbell/embeddr
GapClust,https://github.com/fabotao/GapClust,https://github.com/fabotao/GapClust
iQcell,https://iQcell.readthedocs.io/en/latest/|https://gitlab.com/stemcellbioengineering/iqcell,https://iQcell.readthedocs.io/en/latest/
MERLoT,https://MERLoT.readthedocs.io/en/latest/|https://github.com/soedinglab/merlot,https://MERLoT.readthedocs.io/en/latest/
satuRn,https://satuRn.readthedocs.io/en/latest/|https://bioconductor.org/packages/release/bioc/html/satuRn.html|https://github.com/statOmics/satuRn,https://satuRn.readthedocs.io/en/latest/
scATOMIC,https://github.com/abelson-lab/scATOMIC,https://github.com/abelson-lab/scATOMIC
scDrug,https://github.com/ailabstw/scDrug,https://github.com/ailabstw/scDrug
scGEAToolbox,https://scGEAToolbox.readthedocs.io/en/latest/|https://github.com/jamesjcai/scGEAToolbox,https://scGEAToolbox.readthedocs.io/en/latest/
scHLAcount,https://github.com/10XGenomics/scHLAcount,https://github.com/10XGenomics/scHLAcount
scMoMaT,https://github.com/PeterZZQ/scMoMaT,https://github.com/PeterZZQ/scMoMaT
